gmid,hrt,vrt,vyt,ft,gbin,ht_sum,thetant
-29.5,3.3876903,3.0527024,1.075858,.038706418,0,164988.253121486,5.2703166
-28.5,1.6789826,3.2555847,.49893394,.011901618,1,525250.9932663487,7.4280696
-27.5,3.8095963,3.8963962,.93962699,.036984339,2,256217.5615449094,5.2096591
-26.5,3.4284704,3.0560355,1.0875839,.034115974,3,410472.3050363082,6.2207503
-25.5,3.231554,3.910615,.79403895,.032194134,4,294071.0397392872,4.1149464
-24.5,2.8813994,3.7659824,.73629826,.026168359,5,460668.7749483213,4.6945386
-23.5,3.7893982,3.794662,.96071887,.035577424,6,514797.5921409072,5.3546982
-22.5,2.2942386,3.0287175,.73455262,.018111922,7,997735.6323167882,6.881485
-21.5,3.7871387,4.0115018,.90619874,.032542676,8,481118.9161351931,5.626811
-20.5,3.8378198,3.6878605,1.0022848,.035641115,9,578707.9779554382,5.5551853
-19.5,3.1612508,3.6486883,.834795,.028540889,10,835113.0190518101,5.0207491
-18.5,2.4357162,3.3823452,.69576919,.019072421,11,1326597.149344406,6.0944567
-17.5,3.7438083,3.6936495,.97614163,.034789369,12,817294.5172614049,5.2402778
-16.5,3.2906547,3.7673726,.84055483,.030223621,13,977032.5534448848,4.5920458
-15.5,2.4406404,3.205286,.73703599,.022051163,14,1598481.524575156,4.9114022
-14.5,3.485841,3.5008602,.96085143,.03288921,15,1384009.546523943,5.0181255
-13.5,2.6158085,3.1438839,.80587286,.024462365,16,1996173.276874295,4.8249459
-12.5,3.3921335,3.6286705,.90089309,.03280263,17,1783789.79788782,4.3597021
-11.5,2.5321651,3.1185925,.78663599,.024466565,18,2383582.101604396,4.4236393
-10.5,2.7939236,3.8127999,.70483553,.025403429,19,2766872.227613796,3.7046657
-9.5,2.6681349,3.4452894,.74774849,.025106987,20,3296439.458886311,4.0158181
-8.5,2.6429279,3.2374699,.78992665,.027437443,21,3295068.982954919,3.6228499
-7.5,2.6557951,3.2668121,.78640437,.027120195,22,5095738.871771609,3.6506474
-6.5,2.5258977,3.2369707,.75506872,.025955094,23,6028308.408895895,3.4947712
-5.5,2.3556499,3.2835066,.69386244,.024716392,24,6502329.106621499,3.0432475
-4.5,2.2532489,3.1436582,.6942277,.024723135,25,8912411.53082676,2.8809552
-3.5,2.1607153,3.0856268,.67864448,.024544014,26,11781259.5885718,2.6440918
-2.5,1.8964825,2.9420214,.62565404,.02292072,27,15488050.50334224,2.251267
-1.5,1.6093857,2.8918133,.54043788,.020174328,28,21679614.47019017,1.8223679
-.5,1.2288644,2.8441141,.41978419,.016074864,29,28722483.60602776,1.2714498
.5,1.3048134,2.2306225,.57190669,.022258485,30,123945426.2367508,1.2602311
1.5,3.2973354,3.6393549,.87304854,.034145296,31,48796040.99580503,3.1798191
2.5,4.6389298,3.7709396,1.1837896,.047099788,32,43468308.21185011,4.3834734
3.5,5.9717474,3.987772,1.4377972,.057298236,33,36554372.31667422,5.6612172
4.5,7.1639433,4.1663065,1.6478556,.066614553,34,32314545.34184441,6.7062497
5.5,8.2743378,4.3896279,1.8022313,.071565427,35,28081218.18919386,7.8650951
6.5,9.3947868,4.5895162,1.9530624,.08102186,36,26487252.98564128,8.6118813
7.5,10.682913,4.6884356,2.1717374,.088287897,37,19331722.37386409,9.9559622
8.5,11.49266,4.6843743,2.3384767,.096972317,38,22043816.4804475,10.561737
9.5,12.780513,4.90275,2.4789999,.1024579,39,16846065.36131039,11.748704
10.5,13.79705,5.038579,2.6003113,.10944887,40,17178083.83080796,12.532234
11.5,15.097811,5.0828781,2.8193491,.12289519,41,16201269.49600705,13.492725
12.5,16.607342,5.3746104,2.9238884,.12055817,42,11042147.58956209,15.190013
13.5,16.858072,5.4644132,2.9164848,.13319838,43,14850717.24753732,14.68039
14.5,18.49856,5.7655735,3.0234652,.12389819,44,8501154.469086124,16.831741
15.5,18.789858,5.7122235,3.1015139,.14049095,45,12985818.5329156,16.351143
16.5,20.861633,5.5939908,3.5206771,.14158066,46,8255939.772632953,19.021526
17.5,22.265997,5.8435903,3.5876679,.1420089,47,6031272.139610589,20.347042
18.5,21.688654,6.3630013,3.1916704,.15549596,48,13002157.4878924,18.210386
19.5,23.907789,5.7869649,3.8922396,.14568837,49,5322484.040533516,22.070601
20.5,24.359039,6.2357402,3.6627684,.15319608,50,6338357.012522476,21.529701
21.5,25.97974,5.8961554,4.1464195,.15546514,51,3780891.685055437,23.734705
22.5,25.306231,7.1758909,3.2735007,.16943763,52,11156711.22563949,20.521812
23.5,28.498596,6.9092207,3.8397336,.14493969,53,3262633.569785636,25.782129
24.5,29.470602,6.8018942,4.0379992,.15743332,54,3275395.738067892,26.253271
25.5,29.380264,6.6451535,4.1275048,.19889779,55,4865425.77424871,24.567339
26.5,31.044691,7.0570564,4.0886521,.17657469,56,3376349.708265356,26.57785
27.5,32.505684,6.6349106,4.5741324,.18632065,57,2628504.825319185,28.231886
28.5,31.504345,8.1679125,3.5420432,.18732183,58,9758588.379116002,24.953634
29.5,34.605385,7.2555122,4.4234762,.17057917,59,2276457.289717263,30.259544
30.5,34.963547,6.8690658,4.740365,.19133875,60,2557900.271758173,30.038628
